extension_name,interestingness_score,notes,overall_working,working in 500 set,needs_login,installs,works_in_mv2,is_popup_working,extension_id
Solanatip,,,no,no,,,TRUE,,mkdeccahohlpfjbhmmaaijljjhmfmdfn
Quicker Search,,,no,no,,,TRUE,,jdmepaljbmglonfljdlohodkaaakbmjm
Information Visualization of Browser History,,,could_not_test,no,,,FALSE,,gpjdfganijinlpncdlpcdlphldggdmfc
Github Hoverscope,,,could_not_test,no,,,FALSE,,hebmopjpmnpcliimdcacdiliomcclfoo
code runner,,,no,no,,,FALSE,,kbgaihnlngffdgljpbgbpcphflmmdhpg
 实时行情助手火币版 - 实时查看代币涨跌幅,,,no,no,,,TRUE,,blhmbnpjfldjoopigndnecfdkemhbmef
 Crypto follow,,,no,no,,,TRUE,,mknflhinhbbiabecejbgcgpilcfjkfho
 Vk Promo,,,could_not_test,no,,,TRUE,,ppncdbmpkkfhipeplkdknanbmomaeplo
Fast Reader,,,no,no,,,FALSE,,khneipdgeiofabcjbidcicboeofghjkc
不要通知我,,,could_not_test,no,,,TRUE,,eibmigfcioanajpaanidbiakcagepmkn
Highlight&Go,,,could_not_test,no,,,TRUE,,lcpaogdhkijhbibofdgmcabbgpcdlplm
XDCPay,,,no,no,,,FALSE,,mkpbikojjcjmggnghhhelpphjkailpbf
Send SMS from Google Sheet,,,no,no,,,FALSE,,ioenhafggjeoendncbpdiicdiicdjimd
Gerador de CPF/CNPJ,,,yes,no,,,FALSE,,adffhnigbmemfmcgndacjdmpeagmhmhb
PIZZARIA Integrale,,,yes,no,,,TRUE,,hcghgegolfhjekgieokjnkifolmhmepe
Tecnohoy Venezuela,,,could_not_test,no,,,TRUE,,cgpopilahkkaonoibdgcpaehcflnkklj
Slotsspot: theme for browser Chrome,,,yes,no,,,FALSE,,jifgdinlemmbjjabganbldnbfnkkidhf
allround-login,,,could_not_test,no,,,FALSE,,fafjdbenbdpjebkejkjpldncikbddpef
Goals Tracker,,,could_not_test,no,,,FALSE,,lolapmlhhkkfapecigdoocngfbfhdmnk
AppEncuestas,,,could_not_test,no,,,FALSE,,boekfjjlekafbaldmpoimjbcecnfjohd
 Shortcut disabler,,,no,no,,,TRUE,,jfnmofjjjaobphckdeinkndhfncljpce
Movavi Photo Manager,,,could_not_test,no,,,FALSE,,gfcfmagkdjgmdjnmfjbhlfmoeclpglca
Movavi Video Editor 2020,,,yes,no,,,FALSE,,ecfghdaebifhpkhakaombcbekjpjhnkh
Wikipedia Bookmark,,,could_not_test,no,,,TRUE,,kaahdbmbpejjlkaapjebngfobpjhpolm
Blank New Tab,,,yes,no,,,TRUE,,njfmakabgionbalgnlpoiccgoecdeeoi
 New Tab Page - Blank,,,yes,no,,,TRUE,,fgammopmbkkafkclbikopphkeeilajba
Casinoupplevelse,,,could_not_test,could_not_test,,,FALSE,,iggacokahppncldjegpibcnmdneoinjn
Nicely.cc,,,yes,no,,,FALSE,,hdhafnlnpgihafppplpdfbdhjionmpin
Think Help Desk,,,could_not_test,no,,,TRUE,,mmkmmgdmglbhgogpaepmhhbecdilgoee
Disposable Mailbox,,,no,no,,,FALSE,,meelgppppibgjlempimbhnlcbmfjdgfi
DeRocket Star,,,yes,no,,,TRUE,,efknekcleeppkeihidbeoggjfdenogob
mdjs-viewer,,,could_not_test,no,,,FALSE,,cdaiopnpmkfoeonhcihiagiecjjonfah
YouTube Dislike and IMDb forum restorer,,,could_not_test,no,,,FALSE,,cdcmkgmpkgcpbciedjgkddedeoeafmlm
 Full-Window Player for YouTube,,,yes,no,,,FALSE,,eifhnmgbkcbehcaabdmgmbgnlaheadpn
Quick Tab,,,no,no,,,TRUE,,lnmkkohgjfjokjoaaebdbconhokeajgp
Screenshot Capture,,,yes,no,,,TRUE,,mebhnnfdhipfhjaebnboibcdkdipjddj
My Merrys,,,could_not_test,no,yes,,TRUE,,ldncjdbdafdkhbkbknemallpgjpifodl
Test the Rest!,,,yes,no,,,TRUE,,blaghicfklakdeloamnjpaoodkpeglbl
Best Google SEO Helper,,,yes,no,,,TRUE,,dhenabeepcbhcpbkeebhfijlmioihcjd
RD1,,,could_not_test,no,,,FALSE,,palfmbecnjlbjmnjiflmkpnpjmlcgfke
Imieniny. Życzenia na każdą okazję.,,,could_not_test,no,,,FALSE,,pmpfhpljobmccilgndcgibmbmjdpapfo
Keep Colorado Green Facebook Banking,,,yes,no,,,FALSE,,gamcmmbgkgadkkionimkedkaighlgaga
Quick access to Translator,,,could_not_test,no,,,FALSE,,lmldjiliodhgfjlfjlliddiohpaelnph
cookie快速模拟,,,no,no,,,TRUE,,hholgmphhacfggakbffioccbmcnmkckg
Smart Calc,,,could_not_test,no,,,FALSE,,njihmgeigicpmhhnnmhhbpfhmilfjhbe
Audio Web,,,yes,no,,,TRUE,,fedagdconefjhabnkfpdlahifhjhffjb
 Glitch App to Project,,,could_not_test,no,,,TRUE,,hndckmccaaoclfpiagnjocnfclgnfije
CommenTab,,,yes,no,,,FALSE,,cpddacmhomhmpalfdggoklegadnldpgl
Tocando agora (beta),,,could_not_test,no,,,FALSE,,mkfoljfaagohdbjmdoecllolaicpjedn
TIL - Learn something new in every tab,,,yes,no,,,FALSE,,idjpogkmgpbfokejnjegjlfniocgfhnp
 Hottours CRM,,,could_not_test,no,,,FALSE,,lobmpnlkbikhiibppcbicddmldmpofjh
English Words 300+,,,could_not_test,no,yes,,TRUE,,adnjlnpdndicafchbglghieljplkhphk
SGM+,,,could_not_test,no,,,FALSE,,pekjcpfadgjcbjjeajojbpkaifljlglf
賽考利克泰雅語翻譯,,,could_not_test,no,,,FALSE,,caccbdlmcdnnimccpgammdabicibcbmp
South Schedule,,,no,no,,,FALSE,,knhjbhkpdfmlmjiaepkppgcijhanmiem
Touremind,,,no,no,,,FALSE,,pgikkieojfchgigcakidkphfdbpihgpl
Clappify,,,no,no,,,TRUE,,opofknelcmapaeiidceffimbngcamhep
fkbmkefjindoajppnnjoanipjpgehogg,,,no,no,,,FALSE,,kbkaadcbdaiobocnpdocjnihcehemhde
TabHome,,,could_not_test,no,,,FALSE,,fkbmkefjindoajppnnjoanipjpgehogg
Social Media Stopwatch,,,no,no,,,TRUE,,pknjhbmcfdoebllidlolfnhkooigpeel
Style's Got Mike,,,could_not_test,no,,,TRUE,,damliljmlfomcpbidlblngfjgmflpomh
Google Search Console SEO Enhancer,,,could_not_test,no,,,FALSE,,acdglffpgonoaepdhfmbccjpeopblbom
OlyScraper,,,could_not_test,no,,,TRUE,,mafjhggcnknolonfdoiecimogilmgjhm
Find+,,,yes,no,,,TRUE,,gedegpjjmmhgiccmigekiedmhdedgmpi
Odete,,,yes,no,,,TRUE,,njchepcljhlephnkhpjnggplnjelkdlj
IHeader,,,no,no,,,FALSE,,adhdbclaplninpalnlcgaooncbkjocmp
Popup Hatebu Comment,,,could_not_test,no,,,FALSE,,ebmgagejcifbcebdbiiodjjaamgiamle
Younext,,,could_not_test,no,,,TRUE,,nekhigagdliopghmjflmeemocmekpgin
bpikjpiahcghfboceffhojblkpfofbjf,,,could_not_test,no,,,TRUE,,bpikjpiahcghfboceffhojblkpfofbjf
GauchoMap,,,could_not_test,no,,,FALSE,,ggpflhcnomanmdagjlppmklkiijkkdhd
The Element Cycles,,,yes,no,,,FALSE,,afakeafhcjjglnedecmbhknbhalnelfb
Reload All Tabs,,,yes,no,,,TRUE,,kmjccehdojphpoalkojfmfndbmpmkkod
Tabliner,,,yes,no,,,FALSE,,pdhcplbcmmaghpboidnooibhfdnpfipm
grnDBLP,,,could_not_test,no,,,TRUE,,hhbhcggbfgajhepphiabjejhjcdedcpk
My Zmanim Monsey,,,no,no,,,TRUE,,lgaankgifdhicdelppjoccifpgmoealk
Pangolin Fake Detector,,,no,no,,,TRUE,,pffkklpbehjpoaeegghbdjfikinmndnd
PC Protect Safe Site,,,no,no,,,TRUE,,hnckgnbicnmpdppjnbchkokjinfhfpla
Page to wireframe,,,yes,no,,,FALSE,,ijanbjhbpglkhncjadppmcnooicdkljd
Refresh my site!,,,yes,no,,,FALSE,,nmecppbaggcpblcfdidlokfnfpljikgj
Wordstat Manager,,,could_not_test,no,yes,,TRUE,,kbbclhhljmpmfgameocdhefdpmlimegi
Chanta,,,no,no,,,FALSE,,gdphgdnpciikoelfiganamhapemjhjdb
Shopee WeAnaly Tool,,,could_not_test,no,,,TRUE,,gldgapmekfidghcadcgmcapekmcofipd
Shop-in,,,could_not_test,no,,,FALSE,,kngmlmkiapjbjanhjdhcmigpbphdiekm
AlphaQuotes Motivational Quotes New Tab,,,yes,no,,,TRUE,,baoehcinncafahkhefhjanpoiikmfccl
Print Lazada for Jubelio,,,could_not_test,no,,,FALSE,,npadfkcikbkgpigkpfniolgogmiijoll
SeoVisor,,,could_not_test,no,,,FALSE,,afijdkapacbnmfjkmipdfgnnbfpmmoad
ShopOrama Tool - Eagle Media,,,could_not_test,no,,,TRUE,,bedodokiampcckckeodkpdhchmgbleff
はてブ Fun,,,no,no,,,FALSE,,klclbacdcfigjaiceajinkonnkcgnobc
Bättre Nyheter,,,could_not_test,no,,,TRUE,,ffheidicfkochodegnbhiflcllaaefhi
Blinknotes,,,could_not_test,no,,,FALSE,,mhaofkmdpgjdcecgfmainpjgnfmmhlbl
GitHub Code Wrap,,,could_not_test,no,,,FALSE,,ickpbgkmjodbclmejbijgilcdccminfd
fraud_alert,,,could_not_test,no,,,FALSE,,banegighfdcacilmkahdjhgjgbciafmk
YouTube Tab Switch,,,could_not_test,no,,,FALSE,,ldigknfdafjbnbdadlfdfampapmdhhfo
OrbitFenix Flash Enabler,,,could_not_test,no,,,FALSE,,fbgikljdagbanfgiimachifckbdnmnlf
Trends v2 for YouTube™,,,no,no,,,FALSE,,pimjgeemhpcfodpeklckmhjeodaiggig
CleanLink,,,no,no,,,FALSE,,kndnfbmjopkenghimanimafaijmhibac
AtCoder VirtualContest-Connect,,,no,no,,,TRUE,,jpginnjealbknnbgnklknalagkdmlpag
JumpToOSMChangesetAnalyzer,,,could_not_test,no,,,FALSE,,amlffnkkdaedmndiklgdphaanmcjnlea
 El Toro,,,could_not_test,no,,,FALSE,,odpmclpmikghiankflfcholkpflbnffa
OmniMemo,,,yes,no,,,FALSE,,ppihcnmdofjgblaahomfdmcnpblcbldn
AcFun Video Download,,,could_not_test,no,,,TRUE,,pecflpnngpkbkpplefofhokbjnehcadb
Stop Tabs 10,,,yes,no,,,FALSE,,enkgpigninikpjifapaeakfdmpkblnbl
Symfony2 Profiler shortcut,,,could_not_test,no,,,TRUE,,fgafanobdbbmbfaamdffcdfbgopokelk
 King Crab Party,,,yes,no,,,TRUE,,dllkogdmbanlppjpgdibfkbblbaahijn
TabAddict,,,yes,no,,,TRUE,,cjfcggncifmbgbmndiplmoebchjfifbn
GoldenWert,,,could_not_test,no,,,FALSE,,ekghhlpfokopajdolpolpcanmhmpghom
Wevuw: Review the Web,,,no,no,,,FALSE,,cocpfkobggjbobpnmklfambchdegmhob
Download Images,,,could_not_test,no,,,TRUE,,bccdohmacgkihojgdefakdhhdccpclpk
Payday Loan - Direct Lenders,,,yes,no,,,TRUE,,pkapgokdkgopikfnnmojmodkfihafcni
PDF to FB2 Converter,,,yes,no,,,TRUE,,knecnendkbbdmncklbhlgcppjpajaipd
Github image preview,,,could_not_test,no,,,FALSE,,nejonmoghjjielofmaiccajkoologdnh
 Cite Trove,,,could_not_test,no,,,TRUE,,nkhmngpedilcjkmdackogdiiiiakhfgf
H-Header,,,yes,no,,,TRUE,,ekgipgiaopkfpcbkjfmkfnnbnkohohkl
Button: Clear Browsing Data,,,yes,no,,,TRUE,,dlgjlpalfblohgbnneomemgednccmgga
amCoffee,,,yes,no,,,TRUE,,hljeeelkdfhjpbekcgjnobenjbdeknhb
Timer Pro,,,yes,no,,,TRUE,,lifecgkglfdbmpdjibncllkalliakkag
MangoSigns Chrome Player,,,could_not_test,no,yes,,TRUE,,dedcmfbnakehkhniojlfofffmemedhee
Ovarian Cyst Treatment Without Surgery,,,yes,no,,,FALSE,,kmbgpflaojmkofefndnoijbfmfinmepc
CMUDirectory,,,yes,no,,,TRUE,,hkiecdebiebblkedibdmjcjnmmikplcl
Skia Buildbot Monitor,,,could_not_test,no,,,TRUE,,fnkohfnhjgiepdkecjabmlpfgbgjidji
Rapid Donor,,,could_not_test,no,yes,,TRUE,,dkhleleeagmdkdfcknkdjnmbnlknniaf
New Tab Redux,,,yes,no,,,TRUE,,kkaapbjemjdephhmgogljcgadcbkpjmp
Cloud Save,,,could_not_test,no,,,FALSE,,mpnokdijeinfkpddhdmkfghedpmbkbok
Unicart,,,could_not_test,no,,,FALSE,,kjmdkeknjohejfgheakglacbddbdibal
SNAILPLAY,,,could_not_test,no,,,TRUE,,gmphmnmdmcdlejpeldlpnkhifppmanca
閲覧履歴ポップアップ検索,,,could_not_test,no,,,FALSE,,cgjhiddkdoogbpnlkdddodcckhdodfep
Kick me off,,,yes,no,,,TRUE,,dfinmoanpfepmadmnihefempeefdekhi
Dev Labs Reactions,,,could_not_test,no,,,TRUE,,ooabifbpgfdknniocnhehofgikafncpd
Easync Product ID Grab Tool for Drop Shipping,,,no,no,,,TRUE,no,onbjfjajekembgebmjmoonbkpgeckape
"港查書易[圖書館,商店,大學]",,,yes,no,,yes,TRUE,,chlmccdddekohhoocdhhcipbbhccaadp
Password Generator,,,no,no,,,FALSE,,lhmliamcnkidjmpkehhdobloflkinjkm
Repeater,,,no,no,,,TRUE,,coaeeoeibgkgpamkpckcdgaobkjonion
Lavaca Developer Tools,,,no,no,,,TRUE,,dfjikpibamfdjmbehgmmibhcbjhlleji
蝦皮賣家黑精靈,,,could_not_test,no,,,TRUE,,holkaimpefmoidkdamcdfogjdbopihoe
 MeetInOne Extension for Google Meet,,,could_not_test,no,,,TRUE,,iikcdekihignkjbecpckckoidkmjbkoj
TELUS Business Connect for Microsoft 365,,,could_not_test,no,,,FALSE,,ededhhcknlpomfmcoibofbjflechmpmi
getflynews,,,could_not_test,no,,,FALSE,,pcmoeemedgaidojflmkfhpgfcbclhnoa
シンクロチューブ,,,yes,no,,,TRUE,,ekoncmgcdjjfkpefjfenfbahpkhilekk
E START Startup-page Setting Tool,,,no,no,,,TRUE,,mmiemoagbpljakpmiomollgpcgiehdim
wino,,,no,no,,,TRUE,,follminpdpghndmaleamimmbdhlgaepo
Box for tabs,,,no,no,,,TRUE,,dmpcdfoaekmmapemolheegecabijlbmf
In The Zone - Productive Club,,,no,no,,,FALSE,,pcglcincgpnlidilejlohhoecfbggopn
wekey,,,could_not_test,no,,,TRUE,,emegfipbpkljffffokfbefjjmofmdmgn
Калькулятор,,,yes,no,,,TRUE,,bbofkffmfiambifonbnhfackhigeodkg
Tabs Killer,,,no,no,,,TRUE,,hgmdeeoighmhomddlghfjcidkdcpbllf
Backstairs Game House,,,no,no,,,TRUE,,pgcmocepbpfhmmijbkkbgfeblfcdmmbf
Slang - Text to Speech,,,yes,no,,,TRUE,,liinipoackgjljefijdlcpgloajlldil
ExtensionWorkflow & Planning12 users,,,no,no,,,FALSE,,jpejajbhcnbpbknefhfphhlebdfbcfae
codeplug.in [Generic Version],,,yes,no,,,TRUE,,iekallpaneiiojokfppnpckdebnkeidj
