extension_name,interestingness_score,notes,Matches Sonnet?,overall_working,needs_login,installs,works_in_mv2,is_popup_working,extension_id
Tabliner,,,no,no,,,yes,,pdhcplbcmmaghpboidnooibhfdnpfipm
Gerador de CPF/CNPJ,,,yes,yes,,,yes,,adffhnigbmemfmcgndacjdmpeagmhmhb
PIZZARIA Integrale,,,no,no,,,yes,,hcghgegolfhjekgieokjnkifolmhmepe
Slotsspot: theme for browser Chrome,,,yes,yes,,,yes,,jifgdinlemmbjjabganbldnbfnkkidhf
My Zmanim Monsey,,,no,yes,,,yes,,lgaankgifdhicdelppjoccifpgmoealk
Movavi Video Editor 2020,,,yes,yes,,,yes,,ecfghdaebifhpkhakaombcbekjpjhnkh
Blank New Tab,,,no,no,,,yes,,njfmakabgionbalgnlpoiccgoecdeeoi
Nicely.cc,,,yes,yes,,,yes,,hdhafnlnpgihafppplpdfbdhjionmpin
Pangolin Fake Detector,,,yes,no,,,yes,,pffkklpbehjpoaeegghbdjfikinmndnd
DeRocket Star,,,yes,yes,,,yes,,efknekcleeppkeihidbeoggjfdenogob
 Full-Window Player for YouTube,,,yes,yes,,,yes,,eifhnmgbkcbehcaabdmgmbgnlaheadpn
Quick Tab,,,no,yes,,,yes,,lnmkkohgjfjokjoaaebdbconhokeajgp
Screenshot Capture,,,no,no,,,yes,,mebhnnfdhipfhjaebnboibcdkdipjddj
PDF to FB2 Converter,,,no,no,,,yes,,knecnendkbbdmncklbhlgcppjpajaipd
Test the Rest!,,,no,no,,,yes,,blaghicfklakdeloamnjpaoodkpeglbl
Best Google SEO Helper,,,yes,yes,,,yes,,dhenabeepcbhcpbkeebhfijlmioihcjd
Keep Colorado Green Facebook Banking,,,yes,yes,,,yes,,gamcmmbgkgadkkionimkedkaighlgaga
cookie快速模拟,,,no,yes,,,yes,,hholgmphhacfggakbffioccbmcnmkckg
Audio Web,,,no,no,,,yes,,fedagdconefjhabnkfpdlahifhjhffjb
PC Protect Safe Site,,,yes,no,,,yes,,hnckgnbicnmpdppjnbchkokjinfhfpla
Page to wireframe,,,no,no,,,yes,,ijanbjhbpglkhncjadppmcnooicdkljd
South Schedule,,,yes,no,,,yes,,knhjbhkpdfmlmjiaepkppgcijhanmiem
Refresh my site!,,,no,no,,,yes,,nmecppbaggcpblcfdidlokfnfpljikgj
Clappify,,,yes,no,,,yes,,opofknelcmapaeiidceffimbngcamhep
Trends v2 for YouTube™,,,yes,no,,,yes,,pimjgeemhpcfodpeklckmhjeodaiggig
Social Media Stopwatch,,,yes,no,,,yes,,pknjhbmcfdoebllidlolfnhkooigpeel
Find+,,,no,no,,,yes,,gedegpjjmmhgiccmigekiedmhdedgmpi
Odete,,,yes,yes,,,yes,,njchepcljhlephnkhpjnggplnjelkdlj
CleanLink,,,yes,no,,,yes,,kndnfbmjopkenghimanimafaijmhibac
Wevuw: Review the Web,,,yes,no,,,yes,no,cocpfkobggjbobpnmklfambchdegmhob
AtCoder VirtualContest-Connect,,,yes,no,,,yes,,jpginnjealbknnbgnklknalagkdmlpag
Kick me off,,,no,no,,,yes,,dfinmoanpfepmadmnihefempeefdekhi
Noisli,,,yes,no,,,yes,,ajiemnfobhbjbjlnlgmidkbnejlffmmi
H-Header,,,no,no,,,yes,,ekgipgiaopkfpcbkjfmkfnnbnkohohkl
Button: Clear Browsing Data,,,no,no,,,yes,,dlgjlpalfblohgbnneomemgednccmgga
AlphaQuotes Motivational Quotes New Tab,,,no,no,,,yes,,baoehcinncafahkhefhjanpoiikmfccl
King Crab Party,,,no,no,,,yes,,dllkogdmbanlppjpgdibfkbblbaahijn
